id,creation_date,code,name,quantity,buy_price,buy_consideration,sell_price,buy_transaction_fee,sell_consideration,sell_transaction_fee,profit,currency,market,user_name
1,2013-11-20,01219,天喔国际,5000,3.18,15908.77,3.42,0,62.37,17100,1128.86,HKD,Hong Kong,edison
2,2013-11-27,01316,耐世特,2000,2.8,5656.45,3.45,0,50.56,6900,1192.99,HKD,Hong Kong,edison
3,2013-12-02,01515,凤凰医疗,500,7.46,3727.19,9.42,0,4710,48.38,934.43,HKD,Hong Kong,edison
4,2013-12-04,03315,金邦达宝嘉,1000,5.45,5444.33,6.9,0,6900,50.56,1405.11,HKD,Hong Kong,edison
5,2013-12-05,00484,云游控股,100,51.52,5151.41,54.55,0,5455,49.43,254.16,HKD,Hong Kong,edison
6,2013-12-11,01862,景瑞控股,1000,4.45,4494.85,4.04,0,4040,48.32,-503.17,HKD,Hong Kong,edison
7,2013-12-12,01359,中国信达资产管理,1000,3.62,3616.09,4.55,0,4550,48.37,885.54,HKD,Hong Kong,edison
8,2013-12-13,01689,华禧控股,2000,1.35,2727.22,1.53,0,3060,47.24,285.54,HKD,Hong Kong,edison
9,2013-12-13,06863,辉山乳业,2000,2.7,5400,2.77,0,5540,49.45,90.55,HKD,Hong Kong,edison
10,2013-12-13,01963,重庆银行,500,6,3030.24,5.71,0,2855,46.23,-221.47,HKD,Hong Kong,edison
11,2013-12-13,02213,益华百货,2000,1.4,2828.22,1.5,0,3000,46.24,125.54,HKD,Hong Kong,edison
12,2013-12-20,01678,中国创意家居,2000,1.82,3637,1.92,0,3840,47.31,155.69,HKD,Hong Kong,edison
13,2013-12-27,01819,富贵鸟,400,8.82,3560,8.88,0,3552,47.29,-55.29,HKD,Hong Kong,edison
14,2014-01-03,00636,嘉里物流,500,10.31,5151.41,13.4,0,6700,50.54,1498.05,HKD,Hong Kong,edison
15,2014-01-29,02226,老恒和酿造,500,7.15,3611.04,8.91,0,4455,48.35,795.61,HKD,Hong Kong,edison
16,2014-02-19,01681,康臣药业,1000,4.34,4403.95,6.38,0,6380,50.51,1925.54,HKD,Hong Kong,edison
17,2014-03-06,03636,保利文化,200,33,6666.53,44,0,8800,52.7,2080.77,HKD,Hong Kong,edison
18,2014-07-23,01636,中国金属利用,4000,1.1414,4565.67,1.06,0,4240,48.34,-373.94,HKD,Hong Kong,edison
19,2014-07-23,01268,美东汽车,2000,1.8181,3636.2,1.8,0,3600,47.29,-83.49,HKD,Hong Kong,edison
20,2014-07-25,01345,中国先锋医药,1000,4.1,4141.33,4.92,0,4920,48.4,730.27,HKD,Hong Kong,edison
21,2014-09-15,01372,怡宜控股,2000,1.2,2424.19,1.5,0,3000,48.24,527.57,HKD,Hong Kong,edison
22,2014-09-19,00699,神州租车,1000,8.58,8585.69,10.5,0,10500,56.85,1863.15,HKD,Hong Kong,edison
23,2014-10-06,01811,中广核美亚,2000,1.71,3454.47,2.12,0,4240,50.34,769.66,HKD,Hong Kong,edison
24,2014-10-06,01285,嘉士利集团,2000,3.7,3737.3,3.85,0,7700,49.31,250.69,HKD,Hong Kong,edison
25,2014-11-16,06118,奥星生命科技,1000,3.12,3151.44,3.52,0,3520,49.28,350.72,HKD,Hong Kong,edison
26,2014-12-11,01816,中广核电力,2000,2.78,5616.03,3.48,0,6960,52.54,1347.46,HKD,Hong Kong,edison
27,2014-12-30,00520,呷哺呷哺,500,4.7,2373.68,4.8,0,2400,48.18,1.82,HKD,Hong Kong,edison
28,2015-01-02,03699,万达商业,200,48,9696.74,50.5,0,10100,56.78,443.22,HKD,Hong Kong,edison
29,2015-01-12,02277,震昇工程,5000,0.6,3030.23,0.66,0,3300,49.26,250.74,HKD,Hong Kong,edison
30,2015-01-20,03708,日成控股,5000,0.6,3030.23,0.79,0,3950,49.3,900.7,HKD,Hong Kong,edison
31,2015-03-25,01566,华夏动漫,1000,3.65,3686.78,3.72,0,3720,50,20,HKD,Hong Kong,edison
32,2015-03-27,01381,粤丰环保,1000,2.33,2353.48,3.1,0,3100,50,720,HKD,Hong Kong,edison
33,2015-03-27,01359,中国信达资产管理,5000,3.68,18465.42,3.7,0,18500,66,34,HKD,Hong Kong,edison
34,2015-03-31,03606,福耀玻璃,400,16.8,6787.72,19.2,0,7680,54,906,HKD,Hong Kong,edison
